title,overview,genre_id,media_type,tmdb_id,poster_path,platform_ids,vote_average,popularity,release_date,platforms
MASHLE: MAGIC AND MUSCLES,"In the magic realm, magic is everything—everyone can use it, and one’s social status is determined by their skill level. Deep in the forest, oblivious to the ways of the world, lives Mash. Thanks to his daily training, he’s become a fitness god, but he harbors a secret that could turn his life upside down—he can’t use magic! When he’s found out, rather than his life being over, he’s unexpectedly enrolled in magic school, where he must beat the competition!",10759,tv,204832,/yORTvQOQTZzZ9JRIpRH4QaIaQBm.jpg,[8],8.3,20.5617,,['Netflix']
Dragons: Race to the Edge,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.",10759,tv,78173,/y5sNfaTvWR3ObILyf9uV6deAcKT.jpg,[8],8.3,25.3747,,['Netflix']
Jurassic World: Chaos Theory,The Camp Cretaceous gang comes together to unravel a mystery when they discover a global conspiracy that brings danger to dinosaurs — and to themselves.,10759,tv,237512,/c2Od0cY2IeayDj5osUxZSAD1QK.jpg,[8],8.341,21.3293,,['Netflix']
Dorohedoro,"Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.",10759,tv,94404,/u4RhmbMlKzeshDE2Wf3uxZuGck2.jpg,[8],8.3,7.5811,,['Netflix']
The Uncanny Counter,"A group of supernatural demon hunters known as ""Counters,"" each with unique abilities, disguise themselves as employees of a noodle restaurant, while tracking down evil spirits that terrorize the mortal world.",10759,tv,113268,/bsbuXbQqryQ8aJlwXFkFXbrYko1.jpg,[8],8.3,25.5526,,['Netflix']
Teenage Mutant Ninja Turtles,"The Teenage Mutant Ninja Turtles are back in an all-new animated series on Nickelodeon! Surfacing topside for the first time on their fifteenth birthday, the titular turtles, Leonardo, Michelangelo, Raphael and Donatello, find that life out of the sewers isn't exactly what they thought it would be. Now the turtles must work together as a team to take on new enemies that arise to take over New York City.",10759,tv,51817,/n0DN6kJf0kGeuNFUYLT6eZe5ERR.jpg,[8],8.3,37.3503,,['Netflix']
Bloodhounds,Two young boxers band together with a benevolent moneylender to take down a ruthless loan shark who preys on the financially desperate.,10759,tv,127529,/5rmiPl3WgngnVYLbYWDloF1WXR1.jpg,[8],8.305,16.8804,,['Netflix']
BNA,"Morphed into a raccoon beastman, Michiru seeks refuge, and answers, with the aid of wolf beastman Shirou inside the special zone of Anima-City.",10759,tv,92592,/fwFYXaQz0mrY8v1HDky2wJsYa7t.jpg,[8],8.3,4.8539,,['Netflix']
Cells at Work! CODE BLACK,"Alcohol, smoking, and stress—in the body subjected to these irritants, the cells responsible for maintaining life seem to fight a war that never ends. Due to a severe shortage of workers, Red Blood Cell AA2153 has to quickly learn to deliver oxygen and collect carbon dioxide, even in dangerous conditions. Meanwhile, White Blood Cell U-1196 has to do her part by dealing with germs and viruses during life-threatening situations. In the midst of these crises, they have to work together to keep the body healthy, despite not knowing if their sacrifices will be worthwhile. Cells at Work! Code Black takes a different approach by showing the grittier side of the jobs our cells perform.",10759,tv,101873,/lZQKzmE3P5CJ9Bj0wK4jMZuengp.jpg,[8],8.3,3.7284,,['Netflix']
All of Us Are Dead,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,10759,tv,99966,/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,[8],8.291,24.7237,,['Netflix']
Sweet Home,"As humans turn into savage monsters and the world plunges into terror, a handful of survivors fight for their lives — and to hold on to their humanity.",10759,tv,96648,/zcugNxDg59YwIf3dUHsrHmO7pc1.jpg,[8],8.3,27.4557,,['Netflix']
High-Rise Invasion,"High-school girl Yuri suddenly finds herself on the rooftop of a high-rise building. She's trapped in a bizarre world surrounded by skyscrapers, where a masked man cracked open a man's head with an axe before her eyes. Finding a way to survive this bizarre world, find her beloved brother, and escape becomes her top priority, but she is beset by danger not just from the mysterious Masks, which possess both inhuman strength and cruelty, but other survivors turned cruel or desparate by the insanity of the high-rise world.",10759,tv,112163,/7VJGXWLpgQrUwdmF7r111Sa7bHw.jpg,[8],8.3,4.0995,,['Netflix']
The Apothecary Diaries,"Maomao lived a peaceful life with her apothecary father. Until one day, she's sold as a lowly servant to the emperor's palace. But she wasn't meant for a compliant life among royalty. So when imperial heirs fall ill, she decides to step in and find a cure! This catches the eye of Jinshi, a handsome palace official who promotes her. Now, she's making a name for herself solving medical mysteries!",16,tv,220542,/e3ojpANrFnmJCyeBNTinYwyBCIN.jpg,[8],8.693,68.929,,['Netflix']
Slam Dunk,"Sakuragi Hanamichi is a junior high punk used to getting into fights and being rejected by girls but upon entering high school he meets the girl of his dreams, Haruko Akagi. He will do anything in order to win her heart including joining the school basketball team that is aiming to conquer the nation lead by Haruko's brother. The problem is that Sakuragi has never played basketball before and a freshman sensation is stealing the spotlight and Haruko's affection from him.",16,tv,42573,/gpkM8VeiYyQuEg9qkAoNplktwe4.jpg,[8],8.6,14.6157,,['Netflix']
Death Note,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",16,tv,13916,/tCZFfYTIwrR7n94J6G14Y4hAFU6.jpg,[8],8.636,17.3424,,['Netflix']
Haikyu!!,"Inspired by a small-statured pro volleyball player, Shouyou Hinata creates a volleyball team in his last year of middle school. Unfortunately the team is matched up against the ""King of the Court"" Tobio Kageyama's team in their first tournament and inevitably lose. After the crushing defeat, Hinata vows to surpass Kageyama. After entering high school, Hinata joins the volleyball team only to find that Tobio has also joined.",16,tv,60863,/h0bVEP8doITKTfrkEhzgGesYuQz.jpg,[8],8.6,20.594,,['Netflix']
Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",16,tv,890,/y2ah9t0navXyIvoHg1uIbIHO3tt.jpg,[8],8.6,14.9972,,['Netflix']
Scavengers Reign,When a deep space freighter is damaged by a solar flare its surviving crew are stranded on a beautiful and unforgiving planet. They begin to learn the true nature of this planet as they try to survive long enough to escape or be rescued.,16,tv,204154,/bFlVZV8TQbs8hcIY7PVYonYFMgK.jpg,[8],8.569,8.2848,,['Netflix']
Your Lie in April,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?",16,tv,61663,/rRjfH3ckTYz8z8aSkJshFL4VyK9.jpg,[8],8.579,15.766,,['Netflix']
BoJack Horseman,"Meet the most beloved sitcom horse of the '90s , 20 years later. He's a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",16,tv,61222,/6JFWzlChcGgLiIUo2COgNlWGFKy.jpg,[8],8.546,49.8568,,['Netflix']
Monster,"Kenzou Tenma, a Japanese brain surgeon in Germany, finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.",16,tv,30981,/n5XNKXnoXpoXyfiCtXHOf8q8PFM.jpg,[8],8.513,16.7482,,['Netflix']
Violet Evergarden,"The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past.",16,tv,75214,/61EwFPqc0r1uJo6la49J55F8bQ8.jpg,[8],8.482,8.7112,,['Netflix']
